category,@id,name,description,supersededBy,nameZh,descriptionZh,alternateName,wikidataName,wikidataUrl,wikipediaUrl,schemaorgUrl
property,http://cnschema.org/numberOfBeds,numberOfBeds,"The quantity of the given bed type available in the HotelRoom, Suite, House, or Apartment.",,床位数,旅馆、套房、别墅、公寓中给定床位类型空余数量,,,,,http://schema.org/numberOfBeds
property,http://cnschema.org/numberOfDoors,numberOfDoors,The number of doors. Typical unit code(s): C62,,汽车车门数,车辆的车门数,车门数,,,,http://schema.org/numberOfDoors
property,http://cnschema.org/numberOfEmployees,numberOfEmployees,The number of employees in an organization e.g. business.,,雇员数,组织的雇员数,,employees,http://www.wikidata.org/entity/P1128,,http://schema.org/numberOfEmployees
property,http://cnschema.org/numberOfEpisodes,numberOfEpisodes,The number of episodes in this season or series.,,剧集数,本季或系列的剧集数,,number of episodes,http://www.wikidata.org/entity/P1113,,http://schema.org/numberOfEpisodes
property,http://cnschema.org/numberOfForwardGears,numberOfForwardGears,The total number of forward gears available for the transmission system of the vehicle. Typical unit code(s): C62,,前进档位数,可用于汽车传动系统的前进档的总数,,,,,http://schema.org/numberOfForwardGears
property,http://cnschema.org/numberOfItems,numberOfItems,"The number of items in an ItemList. Note that some descriptions might not fully describe all items in a list (e.g., multi-page pagination); in such cases, the numberOfItems would be for the entire list.",,条目数量,ItemList实体的条目数,条目数,,,,http://schema.org/numberOfItems
property,http://cnschema.org/numberOfPages,numberOfPages,The number of pages in the book.,,总页数,书的总页数,,number of pages,http://www.wikidata.org/entity/P1104,,http://schema.org/numberOfPages
property,http://cnschema.org/numberOfPlayers,numberOfPlayers,"Indicate how many people can play this game (minimum, maximum, or range).",,玩家数,指明有多少人可以玩这个游戏（最少、最多或范围）,,,,,http://schema.org/numberOfPlayers
property,http://cnschema.org/numberOfPreviousOwners,numberOfPreviousOwners,"The number of owners of the vehicle, including the current one. Typical unit code(s): C62",,历任车主数,这辆车的车主数量，包括现在的车主,,,,,http://schema.org/numberOfPreviousOwners
property,http://cnschema.org/numberOfRooms,numberOfRooms,The number of rooms (excluding bathrooms and closets) of the acccommodation or lodging business. Typical unit code(s): ROM for room or C62 for no unit. The type of room can be put in the unitText property of the QuantitativeValue.,,房间数,住宿的房间数量,,,,,http://schema.org/numberOfRooms
property,http://cnschema.org/numberOfSeasons,numberOfSeasons,The number of seasons in this series.,,季数,系列节目的季数,,number of seasons,http://www.wikidata.org/entity/P2437,,http://schema.org/numberOfSeasons
property,http://cnschema.org/numberedPosition,numberedPosition,"A number associated with a role in an organization, for example, the number on an athlete's jersey.",,角色编码,组织中角色关联的号码，例如，运动员运动衫上的号码,,,,,http://schema.org/numberedPosition
property,http://cnschema.org/nutrition,nutrition,Nutrition information about the recipe or menu item.,,营养成分,食谱或菜单条目的营养信息,,,,https://en.wikipedia.org/wiki/Nutrition,http://schema.org/nutrition
property,http://cnschema.org/object,object,"The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). e.g. John read a book.",,行动操作的对象,动作在其上执行的对象，其状态保持完整或更改,,,,,http://schema.org/object
property,http://cnschema.org/occupancy,occupancy,"The allowed total occupancy for the accommodation in persons (including infants etc). For individual accommodations, this is not necessarily the legal maximum but defines the permitted usage as per the contractual agreement (e.g. a double room used by a single person). Typical unit code(s): C62 for person",,最大入住人数,住宿允许的总入住人数（包括婴儿等）,,,,,http://schema.org/occupancy
property,http://cnschema.org/occupationalCategory,occupationalCategory,"Category or categories describing the job. Use BLS O*NET-SOC taxonomy: http://www.onetcenter.org/taxonomy.html. Ideally includes textual label and formal code, with the property repeated for each applicable value.",,职位分类,职位的种类,职位种类,,,,http://schema.org/occupationalCategory
property,http://cnschema.org/offerCount,offerCount,The number of offers for the product.,,商品的报价总数,产品的报价数量,,,,,http://schema.org/offerCount
property,http://cnschema.org/offeredBy,offeredBy,A pointer to the organization or person making the offer.,,报价者,指向提供报价的组织或个人,,,,,http://schema.org/offeredBy
property,http://cnschema.org/offers,offers,"An offer to provide this item—for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.",,报价,提供此项目的报价 - 例如，出售产品的报价，出租电影DVD的价格、门票价格,,,,,http://schema.org/offers
property,http://cnschema.org/openingHours,openingHours,"The general opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'. Days are specified using the following two-letter combinations: Mo, Tu, We, Th, Fr, Sa, Su. Times are specified using 24:00 time. For example, 3pm is specified as 15:00. Here is an example: Tuesdays and Thursdays 4-8pm. If a business is open 7 days a week, then it can be specified as Monday through Sunday, all day.",,开放时间,营业时间。例子：周二和周四下午4点到8点,,,,https://en.wikipedia.org/wiki/Opening_hours,http://schema.org/openingHours
property,http://cnschema.org/openingHoursSpecification,openingHoursSpecification,The opening hours of a certain place.,,开放时间详情,开放时间详细信息,,,,,http://schema.org/openingHoursSpecification
